Description,Price,Rating,ReviewCount,URL
"Electriq 43"" Super UltraWide 120Hz Curved Monitor",£449.98,3.8 out of 5 stars,3,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07503783R698ED7KGJ6T&url=%2FElectriq-UltraWide-HDR400-Curved-Monitor%2Fdp%2FB08MPYRPF5%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1627148903%26sr%3D8-1-spons%26psc%3D1&qualifier=1627148903&id=1491869441174232&widgetName=sp_atf
"Philips 345E2AE - 34 Inch WQHD Ultrawide Monitor,75 Hz, 4ms, IPS, Height Adjust, AMD FreeSync, Speakers (3440 x 1440, 300 cd/m², HDMI/DP)",£339.59,4.3 out of 5 stars,80,/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0926302AXSJF06ZVZLD&url=%2FPhilips-345E2AE-Ultrawide-FreeSync-Speakers%2Fdp%2FB08FDZ2XFV%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1627148903%26sr%3D8-2-spons%26psc%3D1&qualifier=1627148903&id=1491869441174232&widgetName=sp_atf
"Samsung S34J550WQR - LED monitor - 34.1"" - 3440 x 1440 Ultra WQHD @ 75 Hz - VA - 300 cd/m² - 3000:1-4 ms - 2xHDMI, DisplayPort - dark grey/blue",£268.99,4.2 out of 5 stars,39,/Samsung-S34J550WQR-monitor-2xHDMI-DisplayPort/dp/B08WWWZTF4/ref=sr_1_3?dchild=1&keywords=ultrawide+monitor&qid=1627148903&sr=8-3
"LG UltraWide 25UM58 25-inch IPS Monitor (2560 x 1080, HDMI, 250 cd/m2, 5ms), Black",£125.30,4.6 out of 5 stars,"5,009",/LG-25UM58-inch-Ultrawide-Monitor/dp/B01BV1XB2K/ref=sr_1_4?dchild=1&keywords=ultrawide+monitor&qid=1627148903&sr=8-4
"Philips 345E2AE - 34 Inch WQHD Ultrawide Monitor,75 Hz, 4ms, IPS, Height Adjust, AMD FreeSync, Speakers (3440 x 1440, 300 cd/m², HDMI/DP)",£339.59,4.3 out of 5 stars,80,/Philips-345E2AE-Ultrawide-FreeSync-Speakers/dp/B08FDZ2XFV/ref=sr_1_5?dchild=1&keywords=ultrawide+monitor&qid=1627148903&sr=8-5
"Gigabyte G34WQC Curved 34"" VA 1500R (3440 x 1440) 144Hz 1ms FreeSync Compatible, Ultrawide Gaming Monitor, Black",£438.95,4.7 out of 5 stars,"1,452",/Gigabyte-FreeSync-Compatible-Ultrawide-Monitor/dp/B08DL615J1/ref=sr_1_6?dchild=1&keywords=ultrawide+monitor&qid=1627148903&sr=8-6
"Philips 439P9H - 43 inch Superwide Curved LED Monitor, 100Hz, 4ms, VA, Webcam, Speakers, KVM switch, USB-C Docking, Height Adjust (3840 x 1200 - 450 cd/m² , HDMI/DP/USB-C)",£819.00,4.5 out of 5 stars,387,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A08888952AA7R4GCQK92&url=%2FPhilips-P-line-439P9H-monitor-viewable%2Fdp%2FB07YZYZDSD%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1627148903%26sr%3D8-7-spons%26psc%3D1&qualifier=1627148903&id=1491869441174232&widgetName=sp_mtf
"LG Electronics UltraWide 34WN650 34-inch IPS Monitor-21:9 FHD 2560x1080, HDR 400, FreeSync, Speakers, Height Adjustable, 2xHDMI Black",£279.97,3.9 out of 5 stars,19,/LG-Electronics-UltraWide-34WN650-Monitor-21/dp/B0897HFBVY/ref=sr_1_8?dchild=1&keywords=ultrawide+monitor&qid=1627148903&sr=8-8
"LG 29WL500 29"" UltraWide Full HD IPS Monitor with HDR 10",£193.49,4.5 out of 5 stars,268,/LG-29WL500-UltraWide-Full-Monitor/dp/B07VB339T5/ref=sr_1_9?dchild=1&keywords=ultrawide+monitor&qid=1627148903&sr=8-9
"ASUS ROG STRIX Curved XG43VQ, 43 Inch Ultra-Wide (3840x1200) Gaming monitor, VA, up to 120Hz, DCI-P3 90%, DP, HDMI, USB3.0, FreeSync 2 HDR, DisplayHDR400, Shadow Boost",£643.48,4.5 out of 5 stars,378,/ASUS-XG43VQ-Gaming-Curved-Monitor/dp/B082NSJJWX/ref=sr_1_10?dchild=1&keywords=ultrawide+monitor&qid=1627148903&sr=8-10
"Acer Nitro XV340CKPbmiipp Hzx 34 Inch Ultra-Wide Quad HD Gaming Monitor (IPS Panel, FreeSync, 144 Hz, 1 ms, HDR 10, Height Adjustable, DP, HDMI, USB Hub, Black)",£499.99,5.0 out of 5 stars,2,/Acer-XV340CKPbmiipp-Ultra-Wide-FreeSync-Adjustable/dp/B08NCDSC62/ref=sr_1_11?dchild=1&keywords=ultrawide+monitor&qid=1627148903&sr=8-11
"ASUS ROG STRIX Curved XG49VQ, 49 Inch DFHD (3840x1440) Gaming monitor, VA, up to 144Hz, 125% sRGB, DP, HDMI, USB3.0, FreeSync 2 HDR, DisplayHDR400, AuraSync",£782.89,4.5 out of 5 stars,378,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A06431903HI72IGSNWM0S&url=%2FASUS-XG49VQ-FreeSync-DisplayHDR400-AuraSync%2Fdp%2FB07N4F132R%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1627148903%26sr%3D8-12-spons%26psc%3D1&qualifier=1627148903&id=1491869441174232&widgetName=sp_mtf
"LG 29UM69G 29 inch 1ms 75Hz Ultrawide IPS Gaming Monitor (2560 x 1080, HDMI, DisplayPort, 250 cd/m2, AMD Freesync)",£221.70,4.5 out of 5 stars,"1,068",/LG-29UM69G-Ultrawide-DisplayPort-Freesync/dp/B06Y634VP9/ref=sr_1_13?dchild=1&keywords=ultrawide+monitor&qid=1627148903&sr=8-13
"Electriq 30"" Full HD UltraWide FHD HDR 200Hz 1ms Gaming Monitor",£247.97,4.2 out of 5 stars,10,/Electriq-UltraWide-200Hz-Gaming-Monitor/dp/B08L4RDB6H/ref=sr_1_14?dchild=1&keywords=ultrawide+monitor&qid=1627148903&sr=8-14
"Acer Nitro XV340CKP 34 Inch Ultra-Wide Quad HD Gaming Monitor (IPS Panel, FreeSync, 144 Hz, 1 ms, HDR Ready, DP, HDMI, Height Adjustable, Black)",£489.00,4.4 out of 5 stars,340,/Acer-XV340CKP-Ultrawide-FreeSync-Height-adjustable/dp/B082QGBQHB/ref=sr_1_15?dchild=1&keywords=ultrawide+monitor&qid=1627148903&sr=8-15
"LG Electronics UltraWide 34WN650 34-inch IPS Monitor-21:9 FHD 2560x1080, HDR 400, FreeSync, Speakers, Height Adjustable, 2xHDMI Black",£279.97,3.9 out of 5 stars,19,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A02808522AX379W4M2AY5&url=%2FLG-Electronics-UltraWide-34WN650-Monitor-21%2Fdp%2FB0897HFBVY%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1627148903%26sr%3D8-17-spons%26psc%3D1&qualifier=1627148903&id=1491869441174232&widgetName=sp_mtf
"AOC Q34E2A - 34 Inch QHD Monitor, 75Hz, 4ms, IPS, Speakers, Adaptive Sync, Flickerfree, LowBlue light (2560x1080@ 75Hz, 300 cd/m², HDMI/DP)",£234.97,4.5 out of 5 stars,255,/AOC-Q34E2A-inch-LED-Monitor/dp/B08CKNTVXR/ref=sr_1_21?dchild=1&keywords=ultrawide+monitor&qid=1627148903&sr=8-21
"MSI Optix MAG341CQ Curved Gaming Monitor 34 Inch, UWQHD, VA, 100 Hz, 3440 x 1440, 1440p, 1800R, DisplayPort, 2x HDMI, DVI-D, Adjustable Stand, AMD FreeSync",£349.00,4.4 out of 5 stars,802,/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A07012922AFO6F56STMMG&url=%2FMSI-MAG341CQ-Adjustable-FreeSync-Compatible%2Fdp%2FB07R7VTGH5%2Fref%3Dsr_1_22_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1627148903%26sr%3D8-22-spons%26psc%3D1&qualifier=1627148903&id=1491869441174232&widgetName=sp_btf
